DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL,LOCALITZACIO,LATITUD,LONGITUD
24/03/2014,42,Moianès,82589,Santa Maria d'Oló,0.0,0.01,0.0,0.01,"Santa Maria d'Oló, Moianès, Catalunya",41.8742425,2.0358546
24/03/2014,16,Conca de Barberà,431589,Vallclara,0.0,0.3,0.0,0.3,"Vallclara, Conca de Barberà, Catalunya",41.3774766,0.9810775
25/03/2014,11,Baix Llobregat,82009,Sant Boi de Llobregat,0.0,0.03,0.0,0.03,"Sant Boi de Llobregat, Baix Llobregat, Catalunya",41.3459033,2.0413673
25/03/2014,22,Montsià,430770,Mas de Barberans,0.0,0.32,0.0,0.32,"Mas de Barberans, Montsià, Catalunya",40.7345687,0.3727136
25/03/2014,9,Baix Ebre,431331,Roquetes,0.0,0.47,0.34,0.47,"Roquetes, Baix Ebre, Catalunya",40.8203657,0.5019225
27/03/2014,6,Anoia,81022,Igualada,0.0,0.04,0.0,0.04,"Igualada, Anoia, Catalunya",41.5790182,1.617346
27/03/2014,22,Montsià,430043,Alcanar,0.0,0.01,0.0,0.01,"Alcanar, Montsià, Catalunya",40.5438634,0.4793334
28/03/2014,42,Moianès,81385,Moià,0.0,0.01,0.0,0.01,"Moià, Moianès, Catalunya",41.8130391,2.0978412
28/03/2014,22,Montsià,430043,Alcanar,0.0,0.01,0.0,0.01,"Alcanar, Montsià, Catalunya",40.5438634,0.4793334
29/03/2014,1,Alt Camp,431606,Vallmoll,0.42,0.0,0.0,0.42,"Vallmoll, Alt Camp, Catalunya",41.2426301,1.2473878
29/03/2014,16,Conca de Barberà,431055,"Piles, les",0.0,0.09,0.0,0.09,"Piles, les, Conca de Barberà, Catalunya",41.4967547,1.3608796
04/04/2014,41,Vallès Oriental,80863,"Franqueses del Vallès, les",0.0,0.0,0.0,0.0,"Franqueses del Vallès, les, Vallès Oriental, Catalunya",41.6298517,2.2949726
07/04/2014,33,Segrià,252326,Torres de Segre,0.0,0.01,0.0,0.01,"Torres de Segre, Segrià, Catalunya",41.5352381,0.5135629
07/04/2014,19,Garrotxa,171143,Olot,0.0,0.0,0.0,0.0,"Olot, Garrotxa, Catalunya",42.1822177,2.4890211
09/04/2014,41,Vallès Oriental,80333,Caldes de Montbui,0.01,0.0,0.0,0.01,"Caldes de Montbui, Vallès Oriental, Catalunya",41.632265,2.1676442
10/04/2014,33,Segrià,251207,Lleida,0.55,1.7,0.0,2.25,"Lleida, Segrià, Catalunya",41.6147605,0.6267842
10/04/2014,9,Baix Ebre,430069,Aldover,0.0,0.03,0.0,0.03,"Aldover, Baix Ebre, Catalunya",40.8800537,0.4985119
11/04/2014,22,Montsià,431567,Ulldecona,0.0,0.0,0.0,0.0,"Ulldecona, Montsià, Catalunya",40.5967567,0.4460301
14/04/2014,18,Garrigues,250766,"Cogul, el",0.0,0.17,0.0,0.17,"Cogul, el, Garrigues, Catalunya",41.4647391,0.6969342
14/04/2014,11,Baix Llobregat,82634,Sant Vicenç dels Horts,0.0,0.0,0.0,0.0,"Sant Vicenç dels Horts, Baix Llobregat, Catalunya",41.3934193,2.0099482
15/04/2014,40,Vallès Occidental,82917,Vacarisses,0.0,0.01,0.0,0.01,"Vacarisses, Vallès Occidental, Catalunya",41.6063852,1.9194608
15/04/2014,41,Vallès Oriental,81249,Mollet del Vallès,0.0,0.03,0.0,0.03,"Mollet del Vallès, Vallès Oriental, Catalunya",41.5393484,2.2130934
16/04/2014,37,Terra Alta,430712,Horta de Sant Joan,0.0,0.58,0.0,0.58,"Horta de Sant Joan, Terra Alta, Catalunya",40.9554904,0.3138945
